job_title,company,jobtype,region,working_Exp,edu_level,salary
【產品開發】資料分析師_Python(視訊面試),愛酷智能科技股份有限公司,電子通訊／電腦週邊批發業,台北市松山區,1年以上,大學,"月薪50,000元以上"
產品行銷經理 Product Marketing Manager,iCHEF_資廚管理顧問股份有限公司,工商顧問服務業,台北市大安區,4年以上,大學,"月薪60,000~80,000元"
"信義區【UberEats▲ENT Account Management Associate】維繫知名大型連鎖餐飲企業/有維繫客戶經驗尤佳/月薪35,000起_SMS_865",藝珂人事顧問股份有限公司,人力仲介代徵,台北市信義區,經歷不拘,專科,"月薪35,000~40,000元"
儲備菁英 (經管)-台北區,建新國際股份有限公司,儲配／運輸物流業,台北市中正區,經歷不拘,碩士,"月薪50,000~60,000元"
職務代理人（~112年1月，視表現續聘轉正職）,國立中山大學_南區促進產業發展研究中心,工商顧問服務業,高雄市前鎮區,2年以上,大學,"月薪32,000元以上"
JAVA 軟體設計工程師(新竹),天來數位股份有限公司,電腦系統整合服務業,新竹市,經歷不拘,大學,"月薪40,000~80,000元"
D467 用戶行為分析人員 (可遠端工作),台灣大哥大股份有限公司,電信相關業,台北市信義區,2年以上,學歷不拘,"月薪31,000~53,000元"
數據專員,漢元森科技有限公司,電腦軟體服務業,新北市汐止區,1年以上,大學,"月薪40,000~55,000元"
[遠端在家工作] Data Analyst,美利有限公司,醫療器材製造業,台北市大安區,經歷不拘,大學,"月薪40,000~45,000元"
數據分析師,富邦人壽保險股份有限公司(總公司),人身保險業,台北市信義區,2年以上,大學,"月薪30,000~50,000元"
資訊專員,德翔海運股份有限公司,海運,台北市松山區,經歷不拘,大學,"月薪35,000~70,000元"
後端工程師,智庫驅動股份有限公司,其它軟體及網路相關業,台北市信義區,1年以上,專科,"月薪35,000~70,000元"
UX Researcher 使用者研究員,台灣八達資訊科技有限公司,電信相關業,台北市信義區,經歷不拘,專科,"月薪50,000~80,000元"
專員(電子商務事業部),東森購物_電視購物_東森得易購股份有限公司,百貨相關業,新北市中和區,經歷不拘,專科,"月薪28,000~40,000元"
市場分析與通路績效管理師(專員/資深專員),中嘉數位股份有限公司,網際網路相關業,台北市內湖區,3年以上,大學,"月薪35,000~50,000元"
A2-商業分析師 (Data & Business Analyst),意藍資訊股份有限公司,網際網路相關業,台北市大安區,經歷不拘,大學,"月薪35,000~40,000元"
MK 數位行銷專員,慧邦科技股份有限公司,網際網路相關業,台北市中正區,1年以上,大學,"月薪37,000~60,000元"
【職發中心】業務輔導員(活動企劃)(派駐永和區),社團法人中華民國全國中小企業總會,工商顧問服務業,新北市永和區,經歷不拘,專科,"月薪34,203元"
日商【市場分析企劃專員】-D20,精英人力資源股份有限公司,人力仲介代徵,高雄市鼓山區,經歷不拘,專科,"月薪28,000~40,000元"
顧客關係管理,綠舞觀光飯店股份有限公司,旅館業,宜蘭縣五結鄉,2年以上,大學,"月薪28,000~35,000元"
資深商務分析師 / Senior Business analysis (保險系統需求),言某諮詢管理顧問有限公司,網際網路相關業,台北市信義區,8年以上,大學,"月薪40,000~120,000元"
經營企劃專員(數據專案管理),全家便利商店股份有限公司,量販流通相關業,台北市中山區,4年以上,碩士,"年薪610,000~770,000元"
市場研究顧問 Researcher/ Business analyst儲備幹部 (Insights Division),Kantar Taiwan_模範市場研究顧問股份有限公司,工商顧問服務業,台北市松山區,經歷不拘,大學,"月薪35,000~40,000元"
Data Analyst 資料分析師,晚安科技股份有限公司,其它軟體及網路相關業,台北市松山區,2年以上,大學,"月薪50,000元以上"
[行銷] 數據化行銷專才 Growth Marketing / PM,早餐吃麥片_饌元有限公司,食品什貨零售業,台北市南港區,3年以上,大學,"月薪40,000~50,000元"
資料分析師,智庫驅動股份有限公司,其它軟體及網路相關業,台北市信義區,1年以上,專科,"月薪35,000~70,000元"
【PropTech數位人才招募】資深商業分析師,信義房屋股份有限公司,不動產經營業,台北市信義區,5年以上,大學,"月薪60,000元以上"
行銷企劃 (幹部/儲備幹部),蘋果樹醫美診所,診所,台北市松山區,2年以上,大學,"月薪30,000~70,000元"
菲律賓高薪SEO黑帽,城科國際_CYBILL TEK SOFTWARE INC,其它軟體及網路相關業,菲律賓,3年以上,專科,"月薪140,000~180,000元"
ETL開發工程師 （兼職可以）,德昂資訊股份有限公司,電腦軟體服務業,高雄市三民區,3年以上,大學,"日薪2,000~3,000元"
遊戲企劃,翔苡有限公司,電腦軟體服務業,台中市西屯區,1年以上,專科,"月薪40,000~70,000元"
[好會飛]產品企劃 Product Planner,好會飛網路股份有限公司,網際網路相關業,新北市中和區,經歷不拘,大學,"月薪33,000~38,000元"
市調(資深)研究員／ 市調主任／ 市調副理,遠東集團HAPPY GO_鼎鼎聯合行銷股份有限公司,廣告行銷公關業,新北市板橋區,2年以上,大學,"月薪40,000元以上"
[好會飛]產品經理 Product Manager,好會飛網路股份有限公司,網際網路相關業,新北市中和區,3年以上,大學,"月薪60,000~90,000元"
[好會飛]產品副理 Product Assistant Manager,好會飛網路股份有限公司,網際網路相關業,新北市中和區,經歷不拘,大學,"月薪37,000~42,000元"
系統分析師(D1),精藤股份有限公司,電腦系統整合服務業,台北市中山區,2年以上,大學,"年薪600,000~1,000,000元"
數據產品經理,"替您錄科技股份有限公司(TGC Taiwan, Inc.)",多媒體相關業,台北市松山區,3年以上,大學,"月薪48,000~70,000元"
(勞務承攬) 健保資料庫研究助理/分析師,IQVIA _艾昆緯藥品資訊股份有限公司,其他醫療保健服務業,台北市松山區,經歷不拘,大學,"月薪31,520~36,050元"
【研發中心】軟體工程師 / 程式設計師,泛美群信控股股份有限公司,其他金融及輔助業,高雄市苓雅區,2年以上,碩士,"月薪50,000~60,000元"
