job_title,company,jobtype,region,working_Exp,edu_level,salary,salary_asist,salary_h,salary_l,salary_a
品牌專員_外商工作氛圍,格博品牌行銷顧問有限公司,工商顧問服務業,台北市,經歷不拘,大學,"月薪35,000~50,000元",35000~50000,50000.0,35000.0,42500.0
博士後研究人員,國立臺灣師範大學_教育研究與創新中心,其他教育服務業,台北市,經歷不拘,博士,"月薪56,000~58,000元",56000~58000,58000.0,56000.0,57000.0
理賠企劃人員,國泰世紀產物保險股份有限公司,產物保險業,台北市,經歷不拘,大學,"月薪32,000~50,000元",32000~50000,50000.0,32000.0,41000.0
璞園建築團隊 董事長室主管助理,璞園建築團隊_璞全廣告股份有限公司,不動產經營業,台北市,6年以上,大學,"月薪50,000~55,000元",50000~55000,55000.0,50000.0,52500.0
營運企劃專員,鈊象電子股份有限公司,網際網路相關業,新北市,經歷不拘,專科,"月薪30,000~60,000元",30000~60000,60000.0,30000.0,45000.0
世新大學知識經濟發展研究院-資料分析師,世新大學_人事室,大專校院教育事業,台北市,3年以上,碩士,"月薪38,000~50,000元",38000~50000,50000.0,38000.0,44000.0
行為科學家,新穎資訊有限公司,電腦軟體服務業,台中市,1年以上,大學,"月薪38,000~80,000元",38000~80000,80000.0,38000.0,59000.0
大潤發支援辦公室 - 商品績效管理處 價格控管組 商品價格管理專員,大潤發流通事業股份有限公司(總公司),量販流通相關業,台北市,經歷不拘,大學,"月薪35,000~37,000元",35000~37000,37000.0,35000.0,36000.0
營運專員,新加坡商必創科技股份有限公司,其它軟體及網路相關業,台中市,1年以上,大學,"月薪28,000~35,000元",28000~35000,35000.0,28000.0,31500.0
【2022暑期實習】商品精算實習生,(總公司)南山人壽保險股份有限公司,人身保險業,台北市,經歷不拘,大學,"月薪30,000~32,000元",30000~32000,32000.0,30000.0,31000.0
國立臺中教育大學科技部計畫誠徵博士後研究員,國立臺中教育大學_測驗統計與適性學習研究中心,大專校院教育事業,台中市,經歷不拘,博士,"月薪58,350元以上",58350以上,58350.0,58350.0,58350.0
電子商務｜數據專員,炭吉國際貿易有限公司,綜合商品批發代理業,新北市,2年以上,大學,"月薪36,000~40,000元",36000~40000,40000.0,36000.0,38000.0
資料科學家 (Data Scientist),安智聯科技有限公司,電腦軟體服務業,桃園市,3年以上,碩士,"月薪50,000元以上",50000以上,50000.0,50000.0,50000.0
920 - 客戶營運/企劃分析人員,安泰商業銀行股份有限公司,銀行業,台北市,2年以上,專科,"月薪33,000~45,000元",33000~45000,45000.0,33000.0,39000.0
動物展演場所稽查計畫人員,社團法人台灣防止虐待動物協會,社會福利服務業,台北市,2年以上,專科,時薪168~200元,168~200,32000.0,26880.0,29440.0
資深媒體企劃／Senior Media Planner,洰和股份有限公司,其它軟體及網路相關業,台北市,2年以上,專科,"月薪35,000元以上",35000以上,35000.0,35000.0,35000.0
行銷業務企劃_熟數據分析尤佳,雄獅旅行社股份有限公司,旅遊服務業,台北市,2年以上,專科,"月薪32,000~40,000元",32000~40000,40000.0,32000.0,36000.0
碩士級專任助理(計量研究員),國立臺灣師範大學_高等教育深耕計畫辦公室,大專校院教育事業,台北市,經歷不拘,碩士,"月薪36,000~52,000元",36000~52000,52000.0,36000.0,44000.0
國際經濟研究所誠徵專職計畫輔佐研究員1名（商學、能源產業相關領域碩、博士）,財團法人中華經濟研究院,其他教育服務業,台北市,經歷不拘,碩士,"月薪38,600元以上",38600以上,38600.0,38600.0,38600.0
Samsung【三星手機】電商平台 營運專員/資深專員,鵬泰顧問有限公司,電子通訊／電腦週邊零售業,台北市,2年以上,大學,"月薪35,000~45,000元",35000~45000,45000.0,35000.0,40000.0
Mobile DRAM Technical Marketing,南亞科技股份有限公司,半導體製造業,新北市,經歷不拘,碩士,"月薪33,000~58,000元",33000~58000,58000.0,33000.0,45500.0
數位媒體企劃助理,統一數網股份有限公司,網際網路相關業,台北市,經歷不拘,大學,"月薪28,000~32,000元",28000~32000,32000.0,28000.0,30000.0
【營運企劃】業務通路企劃人員,國泰人壽保險股份有限公司_總公司_國泰金控,人身保險業,台北市,經歷不拘,大學,"月薪36,000~70,000元",36000~70000,70000.0,36000.0,53000.0
數據分析系統開發工程師,曜盈科技有限公司,電腦軟體服務業,台中市,3年以上,專科,"月薪48,000~56,000元",48000~56000,56000.0,48000.0,52000.0
英文社群經營 儲備幹部,威翼科技有限公司,廣告行銷公關業,台中市,經歷不拘,學歷不拘,"月薪35,000~50,000元",35000~50000,50000.0,35000.0,42500.0
BI數據系統分析師(台中台南皆可),葳誠科技有限公司,電腦系統整合服務業,台中市,經歷不拘,大學,"月薪70,000~90,000元",70000~90000,90000.0,70000.0,80000.0
【台北】遊戲企劃,向上集團_向上國際科技股份有限公司,電腦軟體服務業,新北市,2年以上,專科,"月薪40,000元以上",40000以上,40000.0,40000.0,40000.0
機率工程師,鈊象電子股份有限公司,網際網路相關業,新北市,經歷不拘,大學,"月薪30,000~60,000元",30000~60000,60000.0,30000.0,45000.0
網站安全分析平台開發工程師 (Web APP開發人員),耘通科技股份有限公司,網際網路相關業,台北市,1年以上,學歷不拘,"月薪60,000~100,000元",60000~100000,100000.0,60000.0,80000.0
數據科學實習 Data Scientist Intern,信輝健康科技有限公司,電腦系統整合服務業,台北市,經歷不拘,大學,時薪168~200元,168~200,32000.0,26880.0,29440.0
整合服務一部_ 研究員/資深研究員,東方線上股份有限公司,工商顧問服務業,台北市,2年以上,大學,"月薪36,000~45,000元",36000~45000,45000.0,36000.0,40500.0
"【工業4.0／智慧製造】智能大數據整合工程師（Python）*到職滿6個月，留任獎金最高15,000* - 視訊面試",欣興電子股份有限公司,印刷電路板製造業(PCB),桃園市,1年以上,大學,"月薪32,000~70,000元",32000~70000,70000.0,32000.0,51000.0
三商家購-總公司-專案管理專員 A02,美廉社_三商家購股份有限公司,百貨相關業,台北市,2年以上,專科,"月薪33,000~35,000元",33000~35000,35000.0,33000.0,34000.0
生技行銷企劃專員(台南永康),大成長城企業股份有限公司,農事及畜牧服務業,台南市,3年以上,大學,"月薪32,000~42,000元",32000~42000,42000.0,32000.0,37000.0
.NET 軟體工程師,愛群生醫國際股份有限公司,藥品／化妝品及清潔用品批發業,台北市,2年以上,專科,"月薪40,000~70,000元",40000~70000,70000.0,40000.0,55000.0
