job_title,company,jobtype,region,working_Exp,edu_level,salary,salary_asist,salary_h,salary_l,salary_a
品管人員,昇華工業股份有限公司,銅基本工業,彰化縣鹿港鎮,經歷不拘,高中,"月薪34,000~36,000元",34000~36000,36000.0,34000.0,35000.0
遊戲產品企劃專員,勝圖國際企業股份有限公司,電腦軟體服務業,桃園市楊梅區,經歷不拘,大學,"月薪27,000~38,000元",27000~38000,38000.0,27000.0,32500.0
資料科學工程師 / Data Science Engineer,紫式大數據決策股份有限公司,工商顧問服務業,新竹市,經歷不拘,碩士,待遇面議,40000~60000,40000.0,40000.0,40000.0
M011廣告行銷專員,OK_忠訓國際股份有限公司,其他金融及輔助業,台北市松山區,2年以上,專科,"月薪26,000~60,000元",26000~60000,60000.0,26000.0,43000.0
Pre-Clinical 前臨床(分生) 研究員/副研究員,心悅生醫股份有限公司,生化科技研發業,新北市汐止區,2年以上,碩士,待遇面議,40000~60000,40000.0,40000.0,40000.0
Global SMT(PSE)製程工程師/主任_新竹_00000,緯創資通股份有限公司,電腦及其週邊設備製造業,新竹市,1年以上,大學,"月薪30,000~60,000元",30000~60000,60000.0,30000.0,45000.0
證券內部稽核人員,中國信託綜合證券股份有限公司,證券及期貨業,台北市南港區,5年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
北區行銷業務人員,森泉食品工業股份有限公司,飲料製造業,新北市新莊區,1年以上,高中,"月薪30,000~40,000元",30000~40000,40000.0,30000.0,35000.0
Merchandiser 品牌採購專員 (台北),美之心國際股份有限公司,鞋類／布類／服飾品零售業,台北市松山區,2年以上,專科,"月薪45,000~55,000元",45000~55000,55000.0,45000.0,50000.0
G0011_大數據分析師,TutorABC_麥奇數位股份有限公司,數位內容產業,新北市板橋區,1年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
人力資源管理師,業泓科技股份有限公司,其他電子零組件相關業,台中市后里區,1年以上,大學,"月薪35,000~45,000元",35000~45000,45000.0,35000.0,40000.0
數位廣告行銷專員Digital Advertising Executive,銘侯股份有限公司,照明設備製造業,新北市中和區,1年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
[馬修嚴選] 電子商務課長,馬修嚴選_彩宸生活事業股份有限公司,乳品製造業,台南市永康區,5年以上,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
後端工程師 (Backend Engineer),開必拓數據股份有限公司,電腦及其週邊設備製造業,新竹市,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
C語言/python 軟體開發工程師 (資深工程師),神盾股份有限公司,IC設計相關業,台北市內湖區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
【碩士】助理研究員-統計,財團法人台灣綜合研究院,其他教育服務業,台北市中山區,經歷不拘,碩士,"月薪40,000元以上",40000以上,40000.0,40000.0,40000.0
半導體數據分析助理,全球人事顧問股份有限公司,人力仲介代徵,台北市內湖區,經歷不拘,大學,"月薪33,000~35,000元",33000~35000,35000.0,33000.0,34000.0
數位媒體優化師(整合行銷),台北數位集團_台北數位廣告股份有限公司,多媒體相關業,台北市南港區,2年以上,大學,"月薪35,000~50,000元",35000~50000,50000.0,35000.0,42500.0
國外業務助理,盟昆企業有限公司,家用電器製造業,台南市山上區,經歷不拘,專科,"月薪33,000~38,000元",33000~38000,38000.0,33000.0,35500.0
G0011_大數據分析師,TutorABC_麥奇數位股份有限公司,數位內容產業,新北市板橋區,1年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
3.5米三次元量測操作技師,金永鑫精密科技股份有限公司,其他機械製造修配業,台中市太平區,2年以上,高中,"月薪30,000元以上",30000以上,30000.0,30000.0,30000.0
產品行銷專員(約聘),104人力銀行_一零四資訊科技股份有限公司,網際網路相關業,新北市新店區,經歷不拘,專科,"月薪36,000元以上",36000以上,36000.0,36000.0,36000.0
CAFEIN 硬咖啡新竹關新門市-儲備店長（需有獨立管理門市2年以上經驗）(預計2022年7月開幕),阿發布雷克股份有限公司,餐館業,新竹市,3年以上,高中,"月薪33,000~36,000元",33000~36000,36000.0,33000.0,34500.0
資深媒體企劃 Sr. Media Planner/Media Planning Manager,安布思沛行銷股份有限公司,網際網路相關業,台北市信義區,3年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數位理財客群經營人員,台北富邦商業銀行股份有限公司,銀行業,台北市大安區,2年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
半導體數據分析助理,全球人事顧問股份有限公司,人力仲介代徵,台北市內湖區,經歷不拘,大學,"月薪33,000~35,000元",33000~35000,35000.0,33000.0,34000.0
輪班包裝產線幹部 (雲林廠),UCC咖啡_優仕咖啡股份有限公司,其他商品批發業,雲林縣斗六市,1年以上,大學,"月薪30,000~40,000元",30000~40000,40000.0,30000.0,35000.0
數位行銷專員/助理,好馬吉股份有限公司,儲配／運輸物流業,新北市五股區,經歷不拘,大學,"月薪28,000~37,000元",28000~37000,37000.0,28000.0,32500.0
CRM會員經營專員,旺德賽斯科技股份有限公司,電腦軟體服務業,台中市西屯區,1年以上,專科,"月薪30,000~60,000元",30000~60000,60000.0,30000.0,45000.0
資料工程師(資料工程部),國泰綜合證券股份有限公司,證券及期貨業,台北市大安區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
招募管理師,運達航運股份有限公司,海運,台北市中山區,經歷不拘,大學,"月薪43,000~48,000元",43000~48000,48000.0,43000.0,45500.0
CAFEIN 硬咖啡衡陽門市-儲備店長（需有獨立管理門市2年以上經驗）,阿發布雷克股份有限公司,餐館業,台北市中正區,3年以上,高中,"月薪32,000~36,000元",32000~36000,36000.0,32000.0,34000.0
Business Insights Manager 數據分析主管,美商泰優股份有限公司台灣分公司,網際網路相關業,台北市中山區,5年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
【行政/管理】招募管理師,新日興股份有限公司,電腦及其週邊設備製造業,新北市樹林區,2年以上,專科,"月薪32,000~45,000元",32000~45000,45000.0,32000.0,38500.0
IE工程師,厚美德生物科技股份有限公司,醫療器材製造業,新竹縣新埔鎮,2年以上,專科,"月薪35,000~45,000元",35000~45000,45000.0,35000.0,40000.0
Armani 品牌營運經理,台元紡織股份有限公司,紡紗業,台北市大安區,8年以上,學歷不拘,待遇面議,40000~60000,40000.0,40000.0,40000.0
產業分析研究人員,社團法人台灣農業科技資源運籌管理學會,工商顧問服務業,台北市大同區,1年以上,大學,"年薪550,000~700,000元",550000~700000,58333.333333333336,45833.333333333336,52083.333333333336
"【南科製程助理工程師】知名外商/月薪40,000-50,000/固定中班/期滿獎金2個月  (KTS-1231)",藝珂人事顧問股份有限公司,人力仲介代徵,台南市新市區,經歷不拘,大學,"月薪40,000~50,000元",40000~50000,50000.0,40000.0,45000.0
系統全端工程師,台灣資安鑄造股份有限公司,其它軟體及網路相關業,台北市松山區,經歷不拘,大學,"月薪40,000元以上",40000以上,40000.0,40000.0,40000.0
部門營運主管-HEDER(LGBT),新加坡商約會吧股份有限公司台灣分公司,其它軟體及網路相關業,台北市松山區,3年以上,大學,"月薪55,000~70,000元",55000~70000,70000.0,55000.0,62500.0
行銷企劃專員,鉅碼科技股份有限公司,電腦軟體服務業,新竹市,2年以上,專科,"月薪28,000~60,000元",28000~60000,60000.0,28000.0,44000.0
行政助理(桃園),大成鋼隆美家居股份有限公司,建材／傢俱零售業,桃園市桃園區,經歷不拘,學歷不拘,"月薪28,000~35,000元",28000~35000,35000.0,28000.0,31500.0
電商營運企劃,網酷資訊有限公司,其它軟體及網路相關業,台中市西屯區,2年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
社群文案資深人員,國寶服務股份有限公司,殯葬服務業,台北市中正區,1年以上,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
產品經理(鈣鈦礦太陽能部門),綠來科技股份有限公司,塑膠製品製造業,新竹縣竹北市,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
ETL開發工程師 （兼職可以）,德昂資訊股份有限公司,電腦軟體服務業,高雄市三民區,3年以上,大學,"日薪2,000~3,000元",2000~3000,60000.0,40000.0,50000.0
【新媒體部】亞洲旅遊台－社群行銷企劃(資深/主任),亞洲衛星電視股份有限公司,廣播業,台北市中山區,2年以上,專科,"月薪35,000~50,000元",35000~50000,50000.0,35000.0,42500.0
業務人員(台中)-B852,精誠資訊股份有限公司,電腦系統整合服務業,台中市西屯區,經歷不拘,專科,"月薪35,000~46,000元",35000~46000,46000.0,35000.0,40500.0
總經理室副理,CoCo都可_億可國際飲食股份有限公司,飲料店業,台北市士林區,3年以上,碩士,待遇面議,40000~60000,40000.0,40000.0,40000.0
【營運企劃】人力資源專案規劃師,國泰世華商業銀行股份有限公司_人力資源部,銀行業,台北市信義區,2年以上,碩士,待遇面議,40000~60000,40000.0,40000.0,40000.0
工程人員,昶瑞機電股份有限公司,精密儀器相關製造業,台中市龍井區,1年以上,大學,"月薪26,000~30,000元",26000~30000,30000.0,26000.0,28000.0
數位廣告投放優化師,跨際數位行銷有限公司,網際網路相關業,台北市中山區,1年以上,大學,"月薪35,000元以上",35000以上,35000.0,35000.0,35000.0
業務專員,關於時間科技股份有限公司,其它軟體及網路相關業,新北市汐止區,經歷不拘,大學,"月薪28,000~70,000元",28000~70000,70000.0,28000.0,49000.0
產學實習生(大數據發展處),全球人壽保險股份有限公司_總公司,人身保險業,台北市信義區,經歷不拘,大學,時薪170~185元,170~185,29600.0,27200.0,28400.0
"【數位銀行】數位存匯產品企劃人員 (數數發中心, DDT)",國泰世華商業銀行股份有限公司_人力資源部,銀行業,台北市信義區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
營運助理【備宿舍】,上禾紡織有限公司,紡織成衣業,新北市三重區,1年以上,高中,"月薪30,000~38,000元",30000~38000,38000.0,30000.0,34000.0
KnightsBridge服飾業務經理,彥庭國際有限公司,綜合商品批發代理業,台北市內湖區,3年以上,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
KlassiC.流行眼鏡品牌_連鎖門市營運管理/督導/經理 (北區門市),KlassiC.流行眼鏡品牌_克拉戲客股份有限公司,鐘錶／眼鏡零售業,台北市大安區,3年以上,高中,"月薪45,000元以上",45000以上,45000.0,45000.0,45000.0
MES系統工程師,關東鑫林集團桃園廠_義鎧科技股份有限公司,化學原料製造業,桃園市蘆竹區,經歷不拘,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
台南廠(安南區)-製程工程師 (歡迎新鮮人),正美企業股份有限公司,電腦及其週邊設備製造業,台南市安南區,經歷不拘,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
電子商務編輯 Commerce Editor,康泰納仕綜合媒體事業有限公司,雜誌／期刊出版業,台北市信義區,2年以上,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
營業數位推進專員(社群),全家便利商店股份有限公司,量販流通相關業,台北市中山區,2年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數位行銷企劃,五倍紅寶石程式資訊教育股份有限公司附設臺北市私立五倍紅寶石文理技藝短期補習班,補習班,台北市中正區,1年以上,學歷不拘,"月薪36,000~55,000元",36000~55000,55000.0,36000.0,45500.0
【經營企劃】雄獅集團餐飲品牌,GONNA共樂遊_共樂遊有限公司,餐館業,台北市內湖區,2年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
數位行銷,美商六度有限公司台灣辦事處,電腦軟體服務業,台北市松山區,經歷不拘,學歷不拘,"月薪35,000~40,000元",35000~40000,40000.0,35000.0,37500.0
商品開發(3C資訊處通訊館),東森購物_電視購物_東森得易購股份有限公司,百貨相關業,新北市中和區,1年以上,專科,"月薪36,000~55,000元",36000~55000,55000.0,36000.0,45500.0
【UKIYO】 品牌經理,鉑業有限公司,飲料店業,台北市北投區,3年以上,大學,"月薪40,000~60,000元",40000~60000,60000.0,40000.0,50000.0
【電商部】品牌電商行銷主管,詩芙儂國際企業有限公司,百貨相關業,台中市北區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
封裝研發高級工程師(B0000 新竹),達運精密工業股份有限公司,消費性電子產品製造業,新竹縣湖口鄉,3年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
今-活動行銷企劃(台中) ,財團法人蒲公英希望基金會,其他組織,台中市北屯區,1年以上,專科,"月薪28,000~40,000元",28000~40000,40000.0,28000.0,34000.0
薄化設備部級主管-W331100,昇陽國際半導體股份有限公司,半導體製造業,新竹市,10年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
